"","run_id","model","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg","inverse","plot_title"
"79",79,"ensemble",0.93641975308642,0.606988390238997,0.952338530066815,0.743243243243243,0.847790886655029,87,66,81.5,25.5,27,287,95.6666666666667,0.00348432055749129,"1/Performance Rank"
"80",77,"ensemble",0.937654320987654,0.608766485786669,0.95456570155902,0.732432432432432,0.843499066995726,80,60,73,36.5,39,288.5,96.1666666666667,0.00346620450606586,"1/Performance Rank"
"81",46,"ensemble",0.937860082304527,0.609090456896452,0.955011135857461,0.72972972972973,0.842370432793595,75.5,59,70.5,40.5,45,290.5,96.8333333333333,0.00344234079173838,"1/Performance Rank"
"82",12,"ensemble",0.940740740740741,0.601573947783301,0.962583518930958,0.675675675675676,0.819129597303317,42,72,34.5,71.5,72,292,97.3333333333333,0.00342465753424658,"1/Performance Rank"
"83",9,"description",0.945473251028807,0.493657445036568,0.984632516703786,0.47027027027027,0.727451393487028,4.5,95,2,96,96,293.5,97.8333333333333,0.00340715502555366,"1/Performance Rank"
"84",80,"ensemble",0.936213991769547,0.606779740914517,0.952115812917595,0.743243243243243,0.847679528080419,88,69,83.5,25.5,28,294,98,0.00340136054421769,"1/Performance Rank"
"85",15,"mesh_final",0.905144032921811,0.531416117548857,0.910244988864143,0.843243243243243,0.876744116053693,99,92,99,5,6,301,100.333333333333,0.00332225913621262,"1/Performance Rank"
"86",6,"description",0.943004115226337,0.535119653708175,0.980400890868597,0.489189189189189,0.734795040028893,14.5,91,8,95,95,303.5,101.166666666667,0.00329489291598023,"1/Performance Rank"
"87",74,"ensemble",0.937654320987654,0.607837514234898,0.955011135857461,0.727027027027027,0.841019081442244,80,64,70.5,46,48,308.5,102.833333333333,0.00324149108589951,"1/Performance Rank"
"88",9,"ensemble",0.941152263374486,0.542840538921254,0.97260579064588,0.559459459459459,0.76603262505267,33,89,11,90,90,313,104.333333333333,0.00319488817891374,"1/Performance Rank"
"89",15,"ensemble",0.938477366255144,0.599825941497528,0.957906458797327,0.702702702702703,0.830304580750015,69.5,73,53.5,59.5,60,315.5,105.166666666667,0.00316957210776545,"1/Performance Rank"
"90",81,"ensemble",0.940946502057613,0.529157798642691,0.971269487750557,0.572972972972973,0.772121230361765,38,93,12,88,89,320,106.666666666667,0.003125,"1/Performance Rank"
"91",27,"ensemble",0.940740740740741,0.528657893375552,0.973719376391982,0.540540540540541,0.757129958466261,42,94,10,92,92,330,110,0.00303030303030303,"1/Performance Rank"
"92",72,"ensemble",0.939094650205761,0.57475921521415,0.96369710467706,0.64054054054054,0.8021188226088,59.5,79,30.5,82,81,332,110.666666666667,0.00301204819277108,"1/Performance Rank"
"93",18,"ensemble",0.939094650205761,0.544169025342497,0.969042316258352,0.575675675675676,0.772358995967014,59.5,88,13.5,87,87,335,111.666666666667,0.00298507462686567,"1/Performance Rank"
"94",8,"description",0.940329218106996,0.541894522377476,0.975055679287305,0.518918918918919,0.746987299103112,49,90,9,93.5,94,335.5,111.833333333333,0.0029806259314456,"1/Performance Rank"
"95",54,"ensemble",0.938683127572016,0.565379275063012,0.964587973273942,0.624324324324324,0.794456148799133,66,80,26,85.5,86,343.5,114.5,0.00291120815138282,"1/Performance Rank"
"96",1,"description",0.939711934156379,0.485558626535055,0.982182628062361,0.424324324324324,0.703253476193343,54,96,5.5,97,97,349.5,116.5,0.00286123032904149,"1/Performance Rank"
"97",3,"description",0.937860082304527,0.450884659051546,0.983741648106904,0.381081081081081,0.682411364593993,75.5,98,4,99,99,375.5,125.166666666667,0.00266311584553928,"1/Performance Rank"
"98",2,"description",0.937654320987654,0.467695141175845,0.980846325167038,0.413513513513514,0.697179919340276,80,97,7,98,98,380,126.666666666667,0.00263157894736842,"1/Performance Rank"
"99",18,"mesh_final",0.908641975308642,0.42040043630414,0.928507795100223,0.667567567567568,0.798037681333895,98,99,91,75,84,447,149,0.00223713646532438,"1/Performance Rank"
